run_id,score,threshold,bad_state_multiplier,lookback_rebalances,min_history_rebalances,annualized_return,sharpe_ratio,max_drawdown,signal_gate_active_rate
79,3.660662536210288,0.015,0.6,20,6,0.45033063578537735,1.4259217064595382,-0.35425300132121007,0.2018348623853211
59,3.6598325008292196,0.01,0.6,20,6,0.4543424023787854,1.4239063992118965,-0.35426776226781764,0.1743119266055046
92,3.6544401347974764,0.02,0.35,20,8,0.43552405529938465,1.425707365160868,-0.3543244419915371,0.21100917431192662
98,3.651246714035036,0.02,0.6,12,8,0.4506176039956933,1.420160228064245,-0.3546915151989748,0.21100917431192662
39,3.6485206618495045,0.005,0.6,20,6,0.45557584216938607,1.4190640716372467,-0.35426776226781764,0.14678899082568808
57,3.6478222741810935,0.01,0.6,12,6,0.45362208421166894,1.418385656804746,-0.35426776226781764,0.1651376146788991
7,3.646499072900836,0.0,0.3,20,6,0.4598397883530556,1.4175766846278215,-0.3542652977908729,0.08256880733944955
78,3.6410471453977618,0.015,0.6,12,8,0.4537268343603287,1.4152323572962682,-0.3545562672019025,0.1651376146788991
34,3.639020622063076,0.005,0.45,12,8,0.4503574099433354,1.4144961360978472,-0.3542650023822309,0.13761467889908258
14,3.635397602637412,0.0,0.45,12,8,0.45052393361704435,1.4131475371189595,-0.3542650023822309,0.12844036697247707
88,3.62466152014055,0.02,0.3,20,8,0.43007607786329616,1.4138887490289882,-0.354326183847514,0.21100917431192662
13,3.62179643202942,0.0,0.45,12,6,0.44704426548176723,1.408600151726751,-0.3542660147806673,0.13761467889908258
4,3.62003279236644,0.0,0.2,20,8,0.45714978114822746,1.4062641727528442,-0.3542650023822309,0.07339449541284404
97,3.6171605627265455,0.02,0.6,12,6,0.4437338993751885,1.4076233335755617,-0.3546982712055221,0.22935779816513763
76,3.6114170094127394,0.015,0.45,20,8,0.4406276901090407,1.4062029761175738,-0.35426076512870386,0.1834862385321101
77,3.6068521109217553,0.015,0.6,12,6,0.4468249907411581,1.4026479733394241,-0.3545619531700651,0.1834862385321101
36,3.606424365871053,0.005,0.45,20,8,0.44801012384553096,1.4022248484234072,-0.3542650023822309,0.12844036697247707
56,3.6046850531588897,0.01,0.45,20,8,0.4448067426475848,1.4016367381777084,-0.3542650023822309,0.1559633027522936
54,3.602823510444712,0.01,0.45,12,8,0.44609686919446134,1.3997640715741326,-0.3542650023822309,0.14678899082568808
3,3.602151424508139,0.0,0.2,20,6,0.4527296533468903,1.400175616617484,-0.3542646372571733,0.08256880733944955
91,3.5939435329521725,0.02,0.35,20,6,0.42387467847122573,1.403320660530448,-0.35432322572897157,0.22935779816513763
33,3.589337240807234,0.005,0.45,12,6,0.4405237810288134,1.3961654706466018,-0.3542681333888458,0.1559633027522936
30,3.585749620241817,0.005,0.35,12,8,0.4408795217683179,1.3933138035754846,-0.3542650023822309,0.13761467889908258
10,3.579575630213456,0.0,0.35,12,8,0.4408229462113076,1.3909821328038205,-0.3542650023822309,0.12844036697247707
9,3.564255219441823,0.0,0.35,12,6,0.436951766862955,1.3858187513644014,-0.35426552712199955,0.13761467889908258
75,3.561482762092856,0.015,0.45,20,6,0.43083736815122564,1.3877636331739256,-0.3542595680873888,0.2018348623853211
87,3.5595001469952807,0.02,0.3,20,6,0.4176850753799324,1.3897116136796623,-0.35432454478443753,0.22935779816513763
35,3.556679250185108,0.005,0.45,20,6,0.43819239814559086,1.3838544240196482,-0.3542681333888458,0.14678899082568808
55,3.5550069159015294,0.01,0.45,20,6,0.4350107539812855,1.3832915286712613,-0.3542681333888458,0.1743119266055046
26,3.5543898336823387,0.005,0.3,12,8,0.435784348674334,1.3807624614939824,-0.3542650023822309,0.13761467889908258
