run_id,score,rebalance_days,weight_max,turnover_cap,risk_aversion_lambda,overlay_enabled,annualized_return,sharpe_ratio,max_drawdown
149,3.039496155483386,20,0.12,0.2,15.0,False,0.36315770241098955,1.174431836417191,-0.3732740517156409
103,3.0362704110929677,15,0.15,0.25,5.0,False,0.37207037140166754,1.211459473711648,-0.3778631212366048
111,3.030242126922305,15,0.15,0.3,10.0,False,0.37347929684572234,1.2117400676262282,-0.3825209771865823
97,3.0211802193550454,15,0.15,0.2,5.0,False,0.36414261706466244,1.2041089137365943,-0.3754778756064965
174,3.0189952298893274,20,0.15,0.2,15.0,True,0.24948482634394353,1.168762825187653,-0.290757535854262
147,3.0167952051819045,20,0.12,0.2,10.0,False,0.3631450002498555,1.1662706055594807,-0.3770305518929328
12,3.0065607549960482,10,0.12,0.25,15.0,True,0.23834452319305477,1.151470600133146,-0.2706146551559143
172,3.0064913019394552,20,0.15,0.2,10.0,True,0.24937844890551242,1.1637081154073265,-0.2913597571418993
9,3.0049380526174225,10,0.12,0.25,10.0,False,0.35701351787660407,1.160270595328813,-0.38689122161474754
3,3.001797576847899,10,0.12,0.2,10.0,False,0.3512771315632641,1.1518772165260218,-0.37147148816407016
15,3.000844824964253,10,0.12,0.3,10.0,False,0.36133820290310625,1.1652848686855433,-0.401301266157711
119,2.9994065657843416,15,0.15,0.35,15.0,False,0.371641530208179,1.2029804923137506,-0.3898796933529406
10,2.9987413397357825,10,0.12,0.25,10.0,True,0.23833906874196797,1.1482551800867684,-0.2703486611361696
30,2.9952787973622423,10,0.15,0.2,15.0,True,0.24245437642154655,1.1499830868450633,-0.28936443308013193
170,2.993148537946773,20,0.15,0.2,5.0,True,0.24915095721747993,1.1582908673951737,-0.2919606430313564
145,2.9924892619260053,20,0.12,0.2,5.0,False,0.362921127864827,1.1574415624544758,-0.3806848203666384
109,2.9913371558963266,15,0.15,0.3,5.0,False,0.37233475242405056,1.1965369699339852,-0.3858731192683834
150,2.984328685194755,20,0.12,0.2,15.0,True,0.24435268007609223,1.1512639043913642,-0.2847170656254526
21,2.976838677967949,10,0.12,0.35,10.0,False,0.3628873748856638,1.1615810973399383,-0.4141224581858125
108,2.9711165619731084,15,0.15,0.25,15.0,True,0.2383959601237966,1.1670512703915799,-0.25309712669517315
1,2.9692189661924746,10,0.12,0.2,5.0,False,0.3501270883424352,1.1401408156495465,-0.376251078632837
28,2.9664475295018042,10,0.15,0.2,10.0,True,0.23983253644907032,1.138201218184954,-0.28917836493296445
7,2.964703907075288,10,0.12,0.25,5.0,False,0.355096816500027,1.1456998732407704,-0.392292846613567
8,2.9626262139025203,10,0.12,0.25,5.0,True,0.23584145995175865,1.133096745890186,-0.27006005105401054
117,2.9611565452734503,15,0.15,0.35,10.0,False,0.37079209711076655,1.1881711434607878,-0.39393883022321896
106,2.96078107069987,15,0.15,0.25,10.0,True,0.2381563144400336,1.1631925300153705,-0.25466917493309915
102,2.9567926583230193,15,0.15,0.2,15.0,True,0.23956371475543814,1.1552839536712742,-0.24891782235001247
13,2.95362459400983,10,0.12,0.3,5.0,False,0.3586053050328044,1.1478880079921998,-0.4068373826112903
100,2.9420297375552193,15,0.15,0.2,10.0,True,0.239283236246443,1.149609676848986,-0.25046903876935467
104,2.9417241750183125,15,0.15,0.25,5.0,True,0.2375011117227701,1.1554842975688295,-0.25594049886353
26,2.9309891040829323,10,0.15,0.2,5.0,True,0.23769096251431954,1.123431220288521,-0.28897698881253076
148,2.93020077209648,20,0.12,0.2,10.0,True,0.23892907649434392,1.1293355834642287,-0.28523213863029817
6,2.930183052247584,10,0.12,0.2,15.0,True,0.23435137754849555,1.1228363137137132,-0.28869484347639573
98,2.9284770237708386,15,0.15,0.2,5.0,True,0.23903397049461184,1.1443529804204207,-0.25184122955758825
19,2.923189985023449,10,0.12,0.35,5.0,False,0.359601423216352,1.1416522771677227,-0.41985752276574795
115,2.9224722862214643,15,0.15,0.35,5.0,False,0.3696357497234788,1.172991553175582,-0.3972780412134036
146,2.920800060570726,20,0.12,0.2,5.0,True,0.23879127036559278,1.1255688179759895,-0.28572382857665457
114,2.9110374955160143,15,0.15,0.3,15.0,True,0.23437927940137016,1.146295576282114,-0.2618408504476688
112,2.910442976254231,15,0.15,0.3,10.0,True,0.23502821201859914,1.1464621317695678,-0.2632284131087018
4,2.9054708393609516,10,0.12,0.2,10.0,True,0.23292089539781768,1.1125728524183964,-0.2890349075313511
77,2.900040319463521,15,0.12,0.2,15.0,False,0.3391609969309066,1.155834815436699,-0.3764939323817861
83,2.8984302014037873,15,0.12,0.25,15.0,False,0.3443933421545322,1.157021096194622,-0.38034965398431875
2,2.8916872308884747,10,0.12,0.2,5.0,True,0.23244384873013413,1.107058326757924,-0.289358580989725
110,2.886245517196289,15,0.15,0.3,5.0,True,0.23399848025474212,1.136748880539841,-0.26471044297767643
75,2.8786135416294476,15,0.12,0.2,10.0,False,0.3390042740150343,1.147367072717605,-0.3783912770745651
81,2.8722019969147565,15,0.12,0.25,10.0,False,0.34377793516960153,1.1468217578215942,-0.38272661279819464
120,2.87031815738598,15,0.15,0.35,15.0,True,0.23181592051054167,1.1355080995247304,-0.27155499335903277
89,2.8582829285966795,15,0.12,0.3,15.0,False,0.3448660665488903,1.1439122258103205,-0.38787883616312746
73,2.8544373872550954,15,0.12,0.2,5.0,False,0.33846910699959465,1.1378130860410387,-0.3801853801180505
118,2.8522130253832465,15,0.15,0.35,10.0,True,0.23127423737907882,1.1282613032362865,-0.27297278989603724
79,2.8451808316804117,15,0.12,0.25,5.0,False,0.34280740713680746,1.1362797050264077,-0.38474721569431813
87,2.8314578458551365,15,0.12,0.3,10.0,False,0.34399406601103744,1.133557295121014,-0.3903671689230197
116,2.830016939393766,15,0.15,0.35,5.0,True,0.23036556775097994,1.1192650778338795,-0.2743560440775643
95,2.8045563063164947,15,0.12,0.35,15.0,False,0.3431501929480161,1.1259954000132766,-0.3970723367803223
85,2.803072899408062,15,0.12,0.3,5.0,False,0.3429341561564141,1.1225941394573407,-0.39271152410181887
93,2.7757632582755196,15,0.12,0.35,10.0,False,0.34186840625577997,1.1149236983075275,-0.3997056227888618
90,2.7687778320273324,15,0.12,0.3,15.0,True,0.22051474375503566,1.08860266726924,-0.26398335657230454
78,2.760722379124341,15,0.12,0.2,15.0,True,0.22221229166424683,1.0735602148346497,-0.25106852830743687
88,2.754686262784519,15,0.12,0.3,10.0,True,0.22007327772387542,1.0829338024202,-0.2651676073226904
76,2.747261261420449,15,0.12,0.2,10.0,True,0.2216813632223369,1.068199465323296,-0.25195554207840454
91,2.743545304515016,15,0.12,0.35,5.0,False,0.34034986674520784,1.102596339142414,-0.40224057207726516
86,2.7405239030383646,15,0.12,0.3,5.0,True,0.21962005649352134,1.0771903217593275,-0.26622759712087984
74,2.7357311959806383,15,0.12,0.2,5.0,True,0.22130218590262518,1.0636466950519925,-0.2528610584819495
84,2.7347436678887904,15,0.12,0.25,15.0,True,0.22060720856520377,1.0647937973011259,-0.25504358968704954
96,2.72368750421984,15,0.12,0.35,15.0,True,0.21784911013483477,1.0747152335524892,-0.27170954816093096
82,2.7190878470970308,15,0.12,0.25,10.0,True,0.2199406930553227,1.0585391509760842,-0.25613048277768025
94,2.7096475996192515,15,0.12,0.35,10.0,True,0.217397824507924,1.0689521939109845,-0.2726524942293662
80,2.7031215861281117,15,0.12,0.25,5.0,True,0.21924834944455562,1.0521778810422344,-0.2572319699269001
92,2.697931454596432,15,0.12,0.35,5.0,True,0.21711408418617006,1.0641015983998312,-0.2734733480211966
